"","pred_sb_mag","before","actual","sessiondate","infusion","subjid","pred","pred_shift","actual_shift"
"1",2,0.311688311688312,0.444444444444444,2020-12-10,"infusion",2153,0.627511458333333,0.315823146645022,0.132756132756133
"2",3,0.2625,0.422018348623853,2020-11-26,"sb_change",2153,0.547401666666667,0.284901666666667,0.159518348623853
"3",5.3,0.718181818181818,0.525,2020-12-17,"sb_change",2153,0.3964875,-0.321694318181818,-0.193181818181818
"4",6.8,0.507042253521127,0.396825396825397,2020-12-03,"infusion",2153,0.3249675,-0.182074753521127,-0.11021685669573
"5",0.630208,0.352941176470588,0.525423728813559,2021-01-18,"sb_change",2154,0.658450625,0.305509448529412,0.172482552342971
"6",1,0.296296296296296,0.545454545454545,2020-12-04,"infusion",2154,0.609801458333333,0.313505162037037,0.249158249158249
"7",1.5,0.287037037037037,0.339622641509434,2020-12-18,"sb_change",2154,0.552951041666667,0.26591400462963,0.0525856044723969
"8",3,0.495575221238938,0.426666666666667,2020-11-27,"sb_change",2154,0.421767916666667,-0.0738073045722714,-0.0689085545722714
"9",3,0.682539682539683,0.705882352941177,2021-01-24,"sb_change",2154,0.421767916666667,-0.260771765873016,0.023342670401494
"10",3,0.521739130434783,0.428571428571429,2020-12-24,"sb_change",2154,0.421767916666667,-0.0999712137681159,-0.093167701863354
"11",4.7,0.67741935483871,0.506849315068493,2020-12-11,"infusion",2154,0.318024166666667,-0.359395188172043,-0.170570039770216
"12",11.2417,0.53125,0.347826086956522,2021-02-07,"sb_change",2154,0.118745,-0.412505,-0.183423913043478
"13",0.78073,0.711864406779661,0.7,2021-02-16,"sb_change",2156,0.666189583333333,-0.0456748234463277,-0.0118644067796611
"14",0.9,0.266666666666667,0.563106796116505,2020-12-04,"infusion",2156,0.653251041666667,0.386584375,0.296440129449838
"15",1.12943,0.420454545454545,0.640625,2021-02-07,"sb_change",2156,0.629015,0.208560454545455,0.220170454545455
"16",2,0.153846153846154,0.307017543859649,2020-12-18,"sb_change",2156,0.547016458333333,0.393170304487179,0.153171390013495
"17",3,0.893203883495146,0.648148148148148,2020-11-27,"sb_change",2156,0.466526041666667,-0.426677841828479,-0.245055735346998
"18",3,0.107438016528926,0.314285714285714,2021-01-24,"sb_change",2156,0.466526041666667,0.359088025137741,0.206847697756789
"19",5.2,0.772727272727273,0.357142857142857,2020-12-11,"infusion",2156,0.329462708333333,-0.443264564393939,-0.415584415584416
"20",10.8813,0.407894736842105,0.317460317460317,2021-01-18,"sb_change",2156,0.129525,-0.278369736842105,-0.0904344193817878
"21",0.473047,0.391304347826087,0.575,2021-02-15,"sb_change",2160,0.705078541666667,0.31377419384058,0.183695652173913
"22",0.821094,0.32183908045977,0.393939393939394,2021-02-07,"sb_change",2160,0.665968125,0.34412904454023,0.0721003134796238
"23",1.20312,0.32258064516129,0.405797101449275,2021-01-18,"sb_change",2160,0.625528958333333,0.302948313172043,0.0832164562879851
"24",1.9,0.3625,0.407407407407407,2020-12-11,"infusion",2160,0.558225,0.195725,0.0449074074074074
"25",3,0.304347826086957,0.361702127659574,2020-11-27,"sb_change",2160,0.465869097222222,0.161521271135266,0.0573543015726179
"26",3,0.485148514851485,0.467741935483871,2021-01-24,"sb_change",2160,0.465869097222222,-0.0192794176292629,-0.0174065793676142
"27",3,0.341666666666667,0.3,2020-12-24,"sb_change",2160,0.465869097222222,0.124202430555556,-0.0416666666666667
"28",5.5,0.436507936507937,0.395348837209302,2020-12-18,"sb_change",2160,0.314884166666667,-0.12162376984127,-0.0411590992986342
"29",7.9,0.45,0.25,2020-12-04,"infusion",2160,0.224623958333333,-0.225376041666667,-0.2
